"objectClass","attributeID","name","whenCreated","whenChanged","event"
"attributeSchema","1.2.840.113556.1.4.718","dhcp-Properties","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.707","dhcp-Ranges","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.709","dhcp-Reservations","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.704","dhcp-Servers","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.708","dhcp-Sites","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.717","dhcp-State","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.705","dhcp-Subnets","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.699","dhcp-Type","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.698","dhcp-Unique-Key","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.720","dhcp-Update-Time","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.13","Display-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.353","Display-Name-Printable","2009-02-11 18:37:09","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","2.5.21.2","DIT-Content-Rules","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.261","Division","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.36","DMD-Location","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.598","DMD-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1242","DN-Reference-Update","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.378","Dns-Allow-Dynamic","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.379","Dns-Allow-XFR","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.619","DNS-Host-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.381","Dns-Notify-Secondaries","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1306","DNS-Property","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.382","Dns-Record","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.28","Dns-Root","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.380","Dns-Secure-Secondaries","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1414","DNS-Tombstoned","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.14","documentAuthor","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.11","documentIdentifier","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.15","documentLocation","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.56","documentPublisher","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.12","documentTitle","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.13","documentVersion","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.668","Domain-Certificate-Authorities","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","0.9.2342.19200300.100.1.25","Domain-Component","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.472","Domain-Cross-Ref","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.686","Domain-ID","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.755","Domain-Identifier","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
